회사이름,영문명,공시회사명,종목코드,대표자명,법인구분,법인등록번호,사업자등록번호,주소,홈페이지,IR홈페이지,업종명,설립일,결산월
(주)제이엠씨코퍼레이션,jmccorporation,제이엠씨코퍼레이션, ,박광운,기타법인,110111-2819609,119-86-41842,"서울특별시 강남구 삼성로100길 23-26 (삼성동, 미래빌딩)", ,,협회 및 단체,2011-05-01,12월
(주)제이케이주택건설,JKJUTAEK,제이케이주택건설, ,전경국,기타법인,110111-7179496,555-88-01943,"서울특별시 강북구 덕릉로42길 12 2층 (번동, 번동상가)", ,,산업 단체,2019-07-22,12월
주식회사 제일정비,"Jeiljungbi Co., Ltd.",제일정비, ,김성훈,기타법인,180111-0075910,606-81-11740,부산광역시 사상구 학장동 287-10, ,,자동차 종합 수리업,1987-10-20,12월
(주)제일피알,Jeilpr corporation,제일피알, ,기노창,기타법인,110111-1277387,106-81-60737,서울특별시 용산구 한남동 686-1,www.jpr.co.kr,,그 외 기타 분류 안된 개인 서비스업,1996-06-11,12월
주식회사 조흥,jiheung,조흥, ,"김덕필, 이정우",기타법인,180111-0115089,604-81-27611,"부산광역시 동구 조방로 39 (범일동, 썬오피스텔) 1,2층",www.chsangjo.co.kr/,,장례식장 및 장의관련 서비스업,1991-06-11,06월
좋은라이프 주식회사,"JOUNLIFE.CO.LTD.,",좋은라이프, ,김호철,기타법인,110111-3186586,107-86-61020,"서울특별시 중구 세종대로 73 (서소문동, 태평로빌딩) 7층",www.jounlife.com,,장례식장 및 장의관련 서비스업,2005-03-14,12월
주)유월드,yoo world,주)유월드, ,이상운,기타법인,120111-0322800,121-81-71403,인천광역시 중구 흰바위로92번길 6-4 302호(운서동), ,,그 외 기타 협회 및 단체,2007-09-14,12월
주현의료법인상조주식회사,wngus juhyunlire,주현의료법인상조, ,주영님,기타법인,110111-3337436,108-81-72942,서울특별시 영등포구 대림3동 667-11호 주현빌딩 6층,www.juhyunlire.co.kr,,장례식장 및 장의관련 서비스업,2005-11-07,12월
(주)준오뷰티,Juno Beauty Co.Ltd.,준오뷰티, ,강윤선,기타법인,110111-2682783,110-81-60003,서울특별시 강남구 삼성로 728 애브뉴준오 5층, ,,두발 미용업,2002-12-30,12월
(주)중부VTS,Jung Bu Corporation,중부VTS, ,차종걸,기타법인,151211-0020033,304-81-20509,충청북도 제천시 금성면 청풍호로 510 (양화리), ,,자동차 종합 수리업,2008-05-20,12월
주식회사 중부리츠,Jungbu Reits Company,중부리츠, ,김동하,기타법인,161511-0048772,312-81-54470,충청남도 천안시 신방동 920,www.jbreits.com,,욕탕업,2002-03-11,12월
(주)중앙레포츠,"Joongang Sealand Co., Ltd",중앙레포츠, ,박희채,기타법인,180111-0294453,621-81-35023,부산광역시 남구 용호동 170,-,,욕탕업,1999-07-21,12월
중앙생명과학원주식회사,"Central Institude of Life Science Co., Ltd.",중앙생명과학원, ,이영,기타법인,164811-0023361,312-81-54975,충청남도 아산시 탕정면 호산리 406-3,www.jalifelab.com,,그 외 기타 분류 안된 개인 서비스업,2002-05-01,12월
중앙에이치앤디(주),joong ang h&d,중앙에이치앤디, ,김영기,기타법인,110111-1841041,201-81-27940,서울특별시 양천구 목동 128-4 1층 101호, ,,"화장터 운영, 묘지 분양 및 관리업",2006-08-03,12월
재단법인 중앙화동재단,Joongang Hwadong Foundation,중앙화동재단, ,홍석현,기타법인,110122-0044677,104-82-10204,"서울특별시 중구 서소문로 100 (서소문동, 중앙일보구관)",hwadongcf.org,,그 외 기타 협회 및 단체,2007-08-30,12월
(주)중천디앤씨,JOONGCHEON D&C,중천디앤씨, ,이성우,기타법인,110111-1366924,129-81-99540,경기도 성남시 분당구 수내동 로얄팰리스하우스빌 A-2305, ,,"화장터 운영, 묘지 분양 및 관리업",1997-01-20,12월
(주)중천산업개발,"JOONGCHEON CONSTRUCTION CO., LTD.",중천산업개발, ,윤중천,기타법인,110111-1924342,220-87-19031,서울특별시 강남구 도곡동 552-22 대광빌딩 8층, ,,"화장터 운영, 묘지 분양 및 관리업",2000-03-29,12월
재단법인 중흥장학회,Jungheung Scholarship foundation,중흥장학회, ,신경식,기타법인,200122-0019887,409-82-16947,광주광역시 북구 무등로 204 (신안동), ,,그 외 기타 협회 및 단체,2012-05-07,12월
(주)쥬비스다이어트,JUVISDIET,쥬비스다이어트, ,김대경,기타법인,110111-4855172,220-88-37259,"서울특별시 강남구 삼성로 434 (대치동, 쥬비스타워) 15층", ,,체형 등 기타 신체관리 서비스업,2012-04-26,12월
(주)지디그룹,"GD group co.,Ltd.",지디그룹, ,황수원,기타법인,131411-0304338,134-87-15035,서울특별시 강남구 언주로126길 23 (논현동), ,,예식장업,2013-08-23,12월
(주)지디파트너스,gdwedding,지디파트너스, ,문주,기타법인,211111-0035403,220-88-40851,"경기도 안산시 단원구 광덕4로 140 지하1층 (고잔동, GD팰리스타워)", ,,결혼 상담 및 준비 서비스업,2012-06-01,12월
(주)지엔지트럭센터,"G&G TRUCK CENTER CO.,LTD",지엔지트럭센터, ,노수일,기타법인,115611-0039676,128-81-74997,경기도 파주시 교하읍 다율리 116-14,-,,자동차 종합 수리업,2002-09-11,12월
(주)지엘브이,"GLOBAL LOGISTICS VEHICLES Co.,Ltd.",지엘브이, ,박해광,기타법인,131311-0081681,125-81-74227,경기도 평택시 포승읍 서동대로 437-154, ,,자동차 전문 수리업,2008-07-01,12월
진해개발(주), ,진해개발, ,박원자,기타법인,120111-0192279,121-81-32171,인천광역시 중구 운남동 1129-11, ,,욕탕업,1999-05-10,12월
주식회사 찬흥,"Chanheung co.,ltd.",찬흥, ,전성자,기타법인,110111-5499317,264-81-40769,"서울특별시 송파구 법원로 128 (문정동, 문정에스케이브이원지엘메트로시티) C동 1417호", ,,산업 단체,2014-08-01,12월
(주)참존서비스,CHARMZON SERVICE,참존서비스, ,"김한균, 전기성",기타법인,110111-2438558,215-86-21386,서울특별시 송파구 가락동 155-5, ,,자동차 종합 수리업,2002-02-21,12월
주식회사 척산온천휴양촌,cheoksan spa&hotel,척산온천휴양촌, ,임정희,기타법인,141311-0000407,227-81-00749,강원도 속초시 노학동 972-1, ,,욕탕업,1982-12-15,12월
(주)천궁실버라이프,"CHUNGOONG SILVER LIFE CO,.LTD",천궁실버라이프, ,최정익,기타법인,110111-2871021,107-86-43584,"서울특별시 영등포구 영중로 114-1 (영등포동8가, 대하빌딩)",www.chungoong.co.kr/,,장례식장 및 장의관련 서비스업,2003-10-08,12월
주식회사 천생연분,"Chonsaengyeonbun Co.,Ltd.",천생연분, ,김연희,기타법인,161311-0035913,308-81-38748,충청남도 논산시 시민로 173-8 (내동), ,,예식장업,2013-01-08,12월
천안아산서비스 기아오토큐(주),Cheonan Asan Service KIA AutoQ Inc.,천안아산서비스기아오토큐, ,김형길,기타법인,160111-0426109,741-87-00441,충청남도 아산시 탕정면 삼성로 457 천안아산서비스 기아오토큐(주), ,,자동차 종합 수리업,2016-05-11,12월
주식회사 천안하늘공원,cheonanhaneulgongwon,천안하늘공원, ,서호경,기타법인,161511-0161003,312-86-56449,"충청남도 천안시 동남구 만남로 114 (신부동, 하늘공원장례식장)", ,,장례식장 및 장의관련 서비스업,2013-12-24,12월
천우모빌리티(주),"Chunwoo Mobility Co.,Ltd",천우모빌리티, ,정세림,기타법인,110111-5850494,245-86-00228,서울특별시 용산구 녹사평대로 206 (이태원동), ,,자동차 종합 수리업,2015-10-01,12월
천우모터스 주식회사,"Chunwoo Motors co., Ltd",천우모터스, ,정세림,기타법인,110111-0551568,106-81-35543,서울특별시 용산구 녹사평대로 206 (이태원동), ,,자동차 종합 수리업,1999-01-10,12월
주식회사천지문화원,Cheonji funeral hall,천지문화원, ,배창숙 임성엽,기타법인,200111-0490543,510-81-35719,광주광역시 서구 풍서좌로 173-1 (매월동), ,,장례식장 및 장의관련 서비스업,2017-03-27,12월
(주)천지장례식장,Cheonji Funeral Hall,천지장례식장, ,이민영,기타법인,200111-0267207,409-86-04852,광주광역시 서구 매월동 250-6번지,www.cheonji.com,,장례식장 및 장의관련 서비스업,2009-06-01,12월
(주)천화,CHUNHWA,천화, ,남상찬,기타법인,170111-0129694,503-81-36404,"충청북도 영동군 양산면 양산심천로 144 (봉곡리, 선교국조전)", ,,장례식장 및 장의관련 서비스업,1998-01-07,12월
(주)청산건설,"CHEONG SAN CONSTRUCTION CO., LTD",청산건설, ,조경배,기타법인,134111-0136726,138-81-31786,경기도 안양시 동안구 호계동 915-2 외 3필지 4층 일부, ,,"미용, 욕탕 및 유사 서비스업",2006-01-01,12월
재단법인 최종현학술원,Chey Institute for Advanced Studies,최종현학술원, ,최태원,기타법인,110122-0124114,752-82-00204,"서울특별시 강남구 테헤란로 211 (역삼동) ,17 층",www.chey.org,,그 외 기타 협회 및 단체,2018-10-18,12월
충북온천 주식회사,CBSPA,충북온천, ,김천재,기타법인,150111-0154174,301-86-21450,충청북도 청주시 흥덕구 백봉로 171 (봉명동), ,,욕탕업,2011-11-24,12월
(주)카맨모터스,carmanmoters,카맨모터스, ,김원호,기타법인,170111-0329377,502-81-91379,대구광역시 동구 안심로59길 26 (각산동),ecarman.co.kr/,,자동차 종합 수리업,2007-06-18,12월
재단법인 카카오모빌리티상생재단,Kakaomobility Foundation for Mobility Partnership,카카오모빌리티상생재단, ,하헌구,기타법인,250122-0005307,539-82-00595,"서울특별시 영등포구 양산로19길 19 (당산동3가, 랩스페이스) 3층",www.kmfoundation.or.kr,,그 외 기타 협회 및 단체,2025-02-13,12월
재단법인 카카오임팩트,Kakao Impact Foundation,카카오임팩트, ,홍은택,기타법인,135622-0006941,116-82-39621,"경기도 성남시 분당구 판교역로 235 (삼평동, 에이치스퀘어엔동)",www.kakaoimpact.org,,그 외 기타 협회 및 단체,2018-04-10,12월
재단법인 카카오창작재단, Kakao Creative Foundation,카카오창작재단, ,이진수,기타법인,270122-0063765,263-82-00418,"서울특별시 마포구 양화로 19 (합정동, 합정오피스빌딩) 22층",kakaocf.org/about/index.html,,그 외 기타 협회 및 단체,2022-05-25,12월
주식회사 칼라디움,"Colordium.Co.,Ltd.",칼라디움, ,김채환,기타법인,170111-0668189,461-81-00989,"대구광역시 동구 반야월로 400 (신서동, 칼라디움웨딩)",www.colordium.com,,예식장업,2018-01-11,12월
주식회사 캐처스,"CATCHERS CO.,LTD",캐처스, ,김정달,기타법인,195511-0093488,615-81-52629,경상남도 김해시 분성로557번길 8, ,,산업용 세탁업,2006-12-26,12월
(주)캠프아레나,"camp Arena. CO,",캠프아레나, ,임종훈,기타법인,110111-8480066,396-87-02803,"서울특별시 강남구 논현로 641 (논현동, 논현동대우아이빌힐타운) 515호", ,,산업 단체,2022-11-26,12월
(주)커커,KERKER,커커, ,이승철,기타법인,110111-2020040,211-86-62084,서울특별시 강남구 청담2동 88-18, ,,두발 미용업,2000-07-07,12월
주식회사 컨벤션헤리츠,CONVENTION HERITZ,컨벤션헤리츠, ,임상황,기타법인,110111-4181246,211-88-33074,"서울특별시 강남구 논현로 662 (논현동, 헤리츠타워)1층외", ,,예식장업,2009-09-16,12월
주식회사 컴피아,"COMPIA.Co,.Ltd",컴피아, ,고석만,기타법인,134111-0127840,138-81-26833,"경기도 안양시 동안구 시민대로 171 (비산동, 금강벤처텔) 1710호",www.compia.co.kr,,산업 단체,2005-04-01,12월
주식회사 케이비케이,KBK,케이비케이, ,김종선,기타법인,160111-0235021,314-81-95292,대전광역시 유성구 대정동 37-10,www.서대전컨벤션.kr,,예식장업,2007-12-14,12월
주식회사 케이앤에스,K&S co.LTD,케이앤에스, ,김진수,기타법인,164811-0030788,312-81-70072,충청남도 아산시 선장면신성리 405, ,,기타 개인 서비스업,2004-07-27,12월
케이엠베스트솔루션 주식회사,KM best solution,케이엠베스트솔루션, ,조금규,기타법인,110111-6192514,188-88-00593,"서울특별시 서초구 서초대로56길 38 (서초동, 세오빌딩)", ,,그 외 기타 협회 및 단체,2016-10-05,12월
케이지모빌리티대구서비스센터주식회사,kgm daeguservice center,케이지모빌리티대구서비스센터, ,박기홍,기타법인,170111-0199077,503-81-50750,대구광역시 서구 와룡로 489 (이현동),www.service.smotor.com/daegu,,자동차 종합 수리업,2001-06-18,12월
케이지모빌리티해운대서비스센터 주식회사,KGM HAEUNDAE SERVICE,케이지모빌리티해운대서비스센터, ,김정균,기타법인,234111-0049035,621-81-75821,부산광역시 해운대구 선수촌로 187 (반여동),service.smoter.com/haeundae,,자동차 종합 수리업,2008-05-09,12월
(재)케이티그룹희망나눔재단,kt group Hope Sharing Foundation,케이티그룹희망나눔재단, ,오태성,기타법인,110122-0024273,102-82-06382,"서울특별시 종로구 창경궁로 136 (원남동, 보령빌딩) 14층 kt그룹희망나눔재단",www.ktgf.or.kr,,그 외 기타 협회 및 단체,1990-11-15,12월
재단법인 케이티앤지장학재단,KT&G Scholarship Foundation,케이티앤지장학재단, ,백복인,기타법인,114622-0037735,120-82-08767,"서울특별시 성동구 뚝섬로13길 38 (성수동2가, 상상플래닛) 706호",scholarship.ktngtogether.com/,,그 외 기타 협회 및 단체,2008-06-02,12월
주식회사 케이티희망지음,KT Hopemate,케이티희망지음, ,정구학,기타법인,134111-0515920,441-88-01101,"경기도 과천시 새술막길 39 2층 (중앙동, kt과천스마트타워)",https://www.kthopemate.com/,,자동차 세차업,2019-02-08,12월
(주)케이피아이,(주)KPI,케이피아이, ,박영인,기타법인,110111-1332280,120-81-67283,경기도 김포시 장기동 1850, ,,"화장터 운영, 묘지 분양 및 관리업",1996-12-01,12월
유한회사 코뎀,"Kodem Co., Ltd.",코뎀, ,김하현,기타법인,210114-0165734,402-81-49095,전라북도 전주시 완산구 여울로 19 (서신동), ,,욕탕업,2002-08-14,12월
(주)코리아,KOREA Co. LTD,코리아, ,김광삼,기타법인,150111-0023600,301-81-25484,"충청북도 청주시 청원구 내수읍 충청대로 400 (구성리, 메리다웨딩컨벤션)", ,,예식장업,1995-12-18,12월
(주)코브디엠씨,COBDMC,코브디엠씨, ,한도성,기타법인,110111-2994386,215-86-55829,서울특별시 성동구 행당동 168-10, ,,욕탕업,2004-04-16,12월
코스메틱케어코리아주식회사,Cosmetic Care Korea Ltd,코스메틱케어코리아, ,쳉호벵,기타법인,110111-1480477,104-81-42903,서울특별시 강남구 역삼동 825-13 강남센타빌딩 4F,www.svenson.co.kr,,두발 미용업,1998-01-05,01월
(주)코스모스제일장례식장,-,코스모스제일장례식장, ,송영진,기타법인,131411-0262990,134-86-79823,"경기도 안산시 상록구 수인로 1222 (일동, 제일장례식장)",-,,장례식장 및 장의관련 서비스업,2011-08-04,12월
(주)코아플러스,"Core plus co.,Ltd.",코아플러스, ,김종관,기타법인,120111-0921967,680-86-01003,"인천광역시 계양구 아나지로 402 (작전동, 대원산업공장)", ,,그 외 기타 달리 분류되지 않은 개인 서비스업,2018-02-13,12월
코웨이(주),"COWAY Co., Ltd.",코웨이,021240,서장원,유가증권시장,110111-0626501,307-81-06054,충청남도 공주시 유구읍 유구마곡사로 136-23,company.coway.com,www.cowayir.co.kr,그 외 기타 개인 서비스업,1989-05-02,12월
크리스찬상조,christiansangjo,크리스찬상조, ,김현재,기타법인,110111-3860049,120-87-25612,서울특별시 강남구 선릉로115길 3,www.4christian.co.kr,,장례식장 및 장의관련 서비스업,2008-03-14,12월
(주)크린누리,CLEANNURI,크린누리, ,김형기,기타법인,284911-0161221,318-86-00676,경기도 파주시 법원읍 술이홀로 956 (법원리), ,,산업용 세탁업,2017-08-01,12월
(주)탑솔티엔에스,topsoltns,탑솔티엔에스, ,차상환,기타법인,160111-0156623,314-81-58905,대전광역시 서구 갈마동 361-7번지 4층, ,,그 외 기타 분류 안된 개인 서비스업,2003-04-25,12월
(주)태성에스더블유,TAESEONG SW ,태성에스더블유, ,신폴성범,기타법인,195511-0259650,648-87-02096,경상남도 김해시 주촌면 선천로 65 (선지리) 센텀해수사우나, ,,산업 단체,2021-06-01,12월
주식회사 태성에프앤알,TAESEONGEPEUAENAL,태성에프앤알, ,이영,기타법인,110111-4946955,107-87-77698,"경기도 안양시 동안구 관평로170번길 22 (평촌동, 한림대학교성심병원) 지층.", ,,장례식장 및 장의관련 서비스업,2012-08-27,12월
(주)태안모터스영등포서비스,TeianMotorsYeongdeungpo,태안모터스영등포서비스, ,서덕중,기타법인,110111-1534307,107-81-63396,"서울특별시 영등포구 영신로 224 (영등포동8가, 아우디서비스센터)", ,,자동차 종합 수리업,1998-04-14,12월
태양상조주식회사,"Taengyang sangjo. co, ltd",태양상조, ,김옥,기타법인,195411-0011565,613-81-37622,경상남도 진주시 진주대로 554 (가좌동),www.tysangjo.co.kr,,장례식장 및 장의관련 서비스업,2005-05-20,12월
주식회사 태우산업,TAEWOO Co.Ltd.,태우산업, ,문종식,기타법인,200111-0169908,410-81-78363,광주광역시 북구 삼각동 752-16번지, ,,욕탕업,2003-01-27,12월
주식회사 태인,"TAEIN Co.,Ltd",태인, ,김석영,기타법인,120111-0642513,122-86-29413,"인천광역시 남동구 남동대로747번길 51 (구월동, 버들빌딩지하1층)",www.icsungmo.or.kr,,장례식장 및 장의관련 서비스업,2013-01-11,12월
(주)태인리사이클링,"TAEIN RECYCLING CO.,LTD",태인리사이클링, ,이봉규,기타법인,284111-0111941,132-86-13126,경기도 남양주시 오남읍 양지로 149-46 (오남리), ,,산업 단체,2013-01-22,12월
(주)태종대온천,-,태종대온천, ,성민호,기타법인,180111-0322220,602-81-17515,부산광역시 영도구 동삼2동 972번지,http://www.tjdspa.com,,욕탕업,2000-05-03,12월
태천개발(주),"Tae-Cheon Development Co.,Ltd.",태천개발, ,김창규,기타법인,110111-1252644,104-81-38879,충청남도 아산시 음봉면신수리 288-6,www.spavis.co.kr,,욕탕업,1996-03-20,12월
텍넷 주식회사,Tacnet,텍넷, ,김종서,기타법인,110111-4342765,206-86-42878,"서울특별시 광진구 아차산로78길 44 (광장동, 크레스코빌딩) 805호", ,,산업 단체,2010-05-03,12월
투어라이프(주),TOURLIFE,투어라이프, ,박충배,기타법인,210111-0046542,402-81-64024,"전라북도 전주시 덕진구 백제대로 827 (우아동3가, 예일빌딩 3층)",www.itourlife.co.kr,,장례식장 및 장의관련 서비스업,2005-02-22,12월
주식회사 트라움에스앤씨,"Traum S&C Co., Ltd.",트라움에스앤씨, ,Kim Jin-Min,기타법인,110111-4483999,220-88-09054,"서울특별시 강남구 언주로 564 (역삼동, 라움)",www.theraum.co.kr/,,예식장업,2010-12-10,12월
주식회사 트라이랜드엔터프라이즈,trilandenterprise,트라이랜드엔터프라이즈, ,장순용,기타법인,110111-5711521,141-86-00095,서울특별시 마포구 독막로 68 (상수동), ,,"화장터 운영, 묘지 분양 및 관리업",2015-04-29,12월
(주) 트리플하이엠,Triple HM,트리플하이엠, ,박혁,기타법인,110111-3091686,220-86-93067,"서울특별시 금천구 가산디지털1로 145 (가산동, 에이스하이엔드타워3차) 1205,1206호",hmcorp.co.kr,,그 외 기타 개인 서비스업,2004-10-04,12월
티비테크애드(주),"TBTECHAD.CO.,LTD.",티비테크애드, ,유상술,기타법인,110111-2267444,206-81-59433,경기도 하남시 조정대로 150 아이테코블루존 1012호 (덕풍동),www.tbtechad.com,,그 외 기타 분류 안된 개인 서비스업,2001-06-23,12월
재단법인 티앤씨재단,T&C FOUNDATION,티앤씨재단, ,나석권,기타법인,274322-0033843,840-82-00156,서울특별시 용산구 이태원로 244 2층 (한남동),tncfoundation.org,,그 외 기타 협회 및 단체,2018-01-04,12월
주식회사 티웨딩,T WEDDING,티웨딩, ,김병호,기타법인,131311-0140990,125-86-25978,경기도 평택시 평택5로34번길 6-5 (합정동), ,,예식장업,2014-09-15,12월
재단법인 파라다이스 문화재단 ,PARADISE CULTURAL FOUNDATION,파라다이스문화재단, ,최윤정,기타법인,110122-0023192,203-82-31092,서울특별시 중구 퇴계로 299 (쌍림동) 3층 파라다이스문화재단,pcf.or.kr/,,그 외 기타 협회 및 단체,1989-02-16,12월
주식회사 파티웨딩유,"PARTYWEDDINGYOU Co.,Ltd",파티웨딩유, ,박상훈,기타법인,135811-0233353,124-87-42200,경기도 수원시 권선구 세화로 220 (서둔동),www.partyou.co.kr/,,예식장업,2013-07-23,12월
팔공산추모공원주식회사,"Palgongpark co.,Ltd",팔공산추모공원, ,김영일,기타법인,180111-0462810,605-81-63018,대구광역시 동구 인산로 264 (진인동), ,,"화장터 운영, 묘지 분양 및 관리업",2003-10-06,12월
(주)평화누리,"PYEONGHWA NURI Co.,Ltd.",평화누리, ,천만성,기타법인,110111-6769397,813-88-01058,"서울특별시 서초구 반포대로 22 (서초동, 서초평화빌딩,대호빌딩)",https://www.phfs.co.kr/,,장례식장 및 장의관련 서비스업,2018-06-01,12월
(주)평화목화예식장, ,평화목화예식장, ,이영학,기타법인,181211-0011333,610-81-21311,울산광역시 남구 달동 1252-1, ,,예식장업,1990-01-01,12월
(주)평화원,proung wha won,평화원, ,천영무,기타법인,160111-0166359,305-81-66930,대전광역시 중구 대전천서로 745 (중촌동) 1층, ,,장례식장 및 장의관련 서비스업,2003-12-14,12월
포니정장학재단,Pony Chung Foundation,포니정장학재단, ,정몽규,기타법인,114622-0034260,120-82-07695,"서울특별시 용산구 한강대로23길 55 (한강로3가, 용산역)",www.ponychung.org,,그 외 기타 협회 및 단체,2005-11-07,12월
주식회사 포스위드,"POSWITH CO., LTD.",포스위드, ,이광호,기타법인,171711-0075927,506-81-62783,경상북도 포항시 남구 동촌동 5번지,www.poswith.com,,산업용 세탁업,2007-12-01,12월
재단법인 포스코1퍼센트나눔재단,POSCO 1 Foundation,포스코1퍼센트나눔재단, ,장인화,기타법인,110122-0108093,120-82-11485,"서울특별시 강남구 테헤란로 440 (대치동, 포스코센터)",www.poscofoundation.org,,그 외 기타 협회 및 단체,2013-11-12,12월
재단법인 포스코청암재단,POSCO TJ PARK FOUNDATION,포스코청암재단, ,김선욱,기타법인,174671-0003947,506-82-00014,경상북도 포항시 남구 포스코대로 10 (지곡동), ,,그 외 기타 협회 및 단체,1971-01-27,12월
주식회사 포항서밋에프앤비,corporation PhohangsummitF&B,포항서밋에프앤비, ,서진영,기타법인,171711-0164473,499-88-02074,"경상북도 포항시 북구 소티재로151번길 5 (우현동, 서밋컨벤션)",pohangconvention.com/,,예식장업,2021-06-22,12월
(주)포항서밋컨벤션, pohang summit convention,포항서밋컨벤션, ,서진영,기타법인,171711-0150224,440-86-01521,"경상북도 포항시 북구 소티재로151번길 5 (우현동, 포항서밋컨벤션)",pohangconvention.com,,예식장업,2019-10-16,12월
(주)포항온천,"POHANG HOT SPRING CO.,LTD",포항온천, ,황성곤,기타법인,171711-0076181,506-81-63083,경상북도 포항시 북구 법원로97번길 44 (장성동), ,,욕탕업,2007-12-26,12월
재단법인 플라톤 아카데미,Foundation Platonica Academia,플라톤아카데미, ,최창원,기타법인,110122-0050989,104-82-11557,"서울특별시 종로구 인사동7길 32 (관훈동, SK건설빌딩) 2층",www.platonacademy.org,,그 외 기타 협회 및 단체,2010-11-04,12월
피에스씨네트웍스,"PSC Networks.co,.ltd",피에스씨네트웍스, ,박승철,기타법인,110111-2385048,211-87-05421,"서울특별시 강남구 언주로 869 (신사동, 서영빌딩) 3층",www.pschair.co.kr,,두발 미용업,2002-01-01,12월
주식회사 피에스씨컨설팅,PSC consulting,피에스씨컨설팅, ,최운,기타법인,110111-3260934,113-86-00673,"서울특별시 강북구 도봉로 308 7층(번동, 북한산스카이빌딩)", ,,"화장터 운영, 묘지 분양 및 관리업",2005-09-27,12월
(주)피엠피,PMP Ltd,피엠피, ,남호정,기타법인,171211-0024883,505-81-27750,경상북도 경주시 외동읍 문산리 742-25, ,,자동차 전문 수리업,2003-04-01,12월
필중극본 주식회사,PILJOONG KEUKBON,필중극본, ,김순옥,기타법인,110111-4189539,220-87-88033,서울특별시 강남구 도산대로101길 3 동원빌딩 (청담동), ,,전문가 단체,2009-10-01,12월
하나다개발(주),"HANADA Development co., Ltd.",하나다개발, ,김익규,기타법인,230111-0207984,610-86-21688,울산광역시 울주군 청량면 삼정로 38 (삼정리), ,,그 외 기타 협회 및 단체,2013-05-21,12월
유한회사 하나한주택,hanahanhousing,하나한주택, ,김삼락,기타법인,191414-0000409,611-81-23855,"경상남도 거창군 거창읍 거열로4길 98 (중앙리, 하나로3차) 304호", ,,산업 단체,2013-03-11,12월
하늘문주식회사,haneulmun,하늘문, ,주은형,기타법인,281111-0122983,128-86-18777,경기도 고양시 덕양구 벽제동 523-24, ,,"화장터 운영, 묘지 분양 및 관리업",2007-01-26,12월
재단법인 하림재단,halim foundation,하림재단, ,김홍국,기타법인,110222-0010345,114-82-07443,서울특별시 강남구 도산대로 130 (논현동) 하림빌딩 7층,www.halim.or.kr,,기타 협회 및 단체,2003-01-29,12월
(주)하이빌,hibill.co,하이빌, ,강재철,기타법인,180111-1163756,726-87-01121,"부산광역시 사하구 하신중앙로 331 (하단동, 하이웰빌딩)6층", ,,산업 단체,2021-03-20,12월
(주)하이텍영상,"HITEK VISION CO.,LTD.",하이텍영상, ,최종만,기타법인,110111-2558009,107-86-19861,서울특별시 금천구 가산디지털1로 204 (가산동) 1501호-1515호, ,,산업 단체,2002-07-02,12월
(주)한가람개발,Hangaram Development CO LTD,한가람개발, ,신달순,기타법인,110111-1110925,114-81-62677,서울특별시 서초구 반포동 19-3 센트럴시티 1층, ,,기타 개인 서비스업,1994-12-22,12월
한강라이프(주),HANKANGLIFE co.ltd,한강라이프, ,김옥권,기타법인,160111-0182610,305-81-72728,대전광역시 대덕구 선비마을로5번길 8 (송촌동),www.hankanglife.com,http://www.hankanglife.com,장례식장 및 장의관련 서비스업,2004-12-14,12월
한국고등교육재단,KFAS,한국고등교육재단, ,최태원,기타법인,114622-0000613,220-82-01496,서울특별시 강남구 테헤란로 211 (역삼동) 7층,www.kfas.or.kr,,그 외 기타 협회 및 단체,1974-11-14,12월
한국농어촌공사,Korea Rural Community & Agriculture Corporation,한국농어촌공사, ,홍문표,기타법인,135271-0000021,123-82-08470,경기도 의왕시 포일동 한국농촌공사,www.ekr.or.kr,,그 외 기타 분류 안된 개인 서비스업,2000-01-01,12월
(주)한국블록체인,"Korea Blockchain Co., Ltd.",한국블록체인, ,김용호,기타법인,110111-6340684,181-86-00695,"서울특별시 서초구 효령로 22 (방배동, 멤버스뷰) 310호", ,,그 외 기타 달리 분류되지 않은 개인 서비스업,2017-03-09,12월
한국산업금융개발공단주식회사,KoreaInssutitutte fanance deveiiopment.L.T.D,한국산업금융개발공단, ,이정숙,기타법인,110111-2692740,204-81-80153,"서울특별시 동대문구 청량리동235-4, 미주A상가433호",kifd@hanmail.net,,기타 개인 서비스업,2003-01-13,12월
한국상용트럭 주식회사,"Korea Commercial Truck co., Ltd",한국상용트럭, ,조용균,기타법인,131311-0197991,407-81-31305,경기도 평택시 진위면 남부대로 552 (청호리), ,,자동차 종합 수리업,2019-05-21,12월
한국상용트럭 주식회사,"Korea Commercial Truck Co.,Ltd",한국상용트럭, ,조용균,기타법인,220111-0176355,451-87-01135,제주특별자치도 제주시 애월읍 평화로 2585 (고성리), ,,자동차 종합 수리업,2018-05-21,12월
주식회사 한국애경컨벤션,Amourart wedding convention,한국애경컨벤션, ,박종찬,기타법인,150111-0208971,439-86-00139,충청북도 청주시 흥덕구 남석로 579 (석곡동)305-2,www.amourart.co.kr/,,예식장업,2015-09-07,12월
재단법인 한국유방건강재단,Korea Breast Cancer Foundation,한국유방건강재단, ,노동영,기타법인,114222-0008863,106-82-11311,"서울특별시 용산구 한강대로 100 (한강로2가, 아모레퍼시픽) 16층", ,,그 외 기타 협회 및 단체,2000-07-29,12월
